<Trait>	PC1	PC2	PC3	PC4
KUI2021	8.44812670451711	-21.9525229793221	-14.8427751658696	23.1570130216204
KI21	4.62855884914607	-20.1211166026992	-11.712190716784	14.5947638226188
KI3	-41.5040210514176	-51.535858911492	-28.4689908383963	31.548612391059
KI43	75.8299354962246	9.60726956136888	-0.515412741673071	13.160697542715
KUI44	11.8357596912258	-19.16923832231	-24.3611674524441	32.0876110381244
KY21	42.7831037993149	6.96110794543657	1.4767088527844	-4.25216935801255
KY226	-29.8940967137836	-34.9054755800681	-6.91544710993235	6.1793973819466
KY228	-41.0660773803108	-39.5155222283252	10.1280834669985	14.2043540280933
L127	9.72567531007251	-4.25783288271194	29.7095705701323	-15.995319687468
L317	5.53735547903536	-7.07555869154043	-11.3347212044186	-18.344082242822
L578	46.0553837693691	1.44037752109016	-6.33519848806478	12.289452752873
LH1	-18.4496231012835	4.50913686700283	-9.38246554886753	-26.3290222927947
LH123HT	-22.6019077671035	-15.9618048584954	-16.0986982735626	-31.1698642035023
LH143CMS	-75.2852401217688	11.1146817623459	43.1887498386551	11.0666177064854
LH145	11.3134139243906	29.4351242277772	14.4723572126501	0.118076904338759
LH146HT	21.6510871948595	50.3711578257089	0.711810717066491	-8.43618171033032
LH150	10.8486348483147	-3.08913867192068	-6.34830772202117	-15.5428572381371
LH183	60.3151583821099	10.5337495960412	16.014958416763	-10.5499965243495
LH208	-105.361009941365	29.7445384819365	-30.2313481751958	-3.2575141193464
LH213	-17.9300820821866	-15.4189813616045	-2.11389825252984	-35.9217802809146
LH38	-56.7986110625776	47.3600664037468	74.3472282465821	35.0453297109654
LH39	-52.2073035523906	-34.7908403215746	-14.7328447847274	-29.3489580957662
LH51	0.659552487131562	-20.0306722357168	9.64926856572992	-34.7231854721773
LH52	-55.2615922104465	-48.0862824094156	47.0618113697614	-16.9612671533561
LH54	-125.478702751638	50.4464393138935	46.3475161102143	40.2486408048991
LH57	5.6488515674979	-13.6344848064843	3.18877716156641	-28.5822075646687
LH60	38.9787562768573	5.31303277297363	11.4703664437075	-14.3732942760226
LH74	-47.7627093153464	64.3449637639089	-19.0993493704079	-5.7206417022987
LH82	-39.8880895923063	-25.6593304170052	12.3166472525936	-25.1801417356951
LH85	-34.4187873303678	-22.6910343526965	-7.55237374646344	-13.4151489011409
LH93	-5.7038814263322	-8.63099838967078	-11.7475626485687	-16.0460721941933
LP1NRHT	-40.2149965265274	38.7238782209441	22.5867521203877	4.8914253415456
LP5	-102.927957033169	52.7585695252322	-11.3006327572998	15.7237649927098
M14	57.5069432887654	13.9685002045703	1.16912197930157	-8.30194492446911
M162W	46.0431091637939	2.62752338186451	-16.9440864702357	7.76232739094923
M37W	-0.0399700168168442	-19.0950784064679	-16.6234490034619	9.13843007043622
MBNA	55.8460501798762	5.76294334898617	13.1491945018226	-19.7712237626798
MBST	-18.6622424473641	-19.4506679506094	34.6021014388718	-13.3360469091447
MDF-13D	-26.1044001718526	-27.8213024684791	42.3937198069814	-9.88968553640214
MEF156-55-2	33.2013075133342	1.96539323257254	-6.78827911107008	-6.11966675981708
ML606	-16.8712142708113	-17.1463766891984	37.6531581121379	-7.47720088170054
MO17	12.0490999518999	-13.3347097156832	47.1742964986971	-10.9548231356628
MO18W	7.12974256295121	-15.0420642804373	12.0718453217311	13.1722583909088
MO1W	-21.78429107322	-25.8306462130109	-2.97048089361556	4.55251577858593
MO24W	-29.8305734240793	-35.67889179896	37.4986364132153	9.26201173002417
MO44	11.4883688480614	0.602016109740451	-8.82502515743146	-5.44084384498655
MO45	23.7036934508008	4.32908137650297	-5.73855777280093	-8.42534060160773
MO46	44.2362493315727	15.1404004993238	-0.550066721882618	-2.56787318776476
MO47	60.2629904221447	19.2967193594791	-2.42403828558035	4.02883199099676
MOG	76.3948135032085	15.6502377844897	3.11846855252504	1.46266693942763
MP339	7.98361950554435	-6.85633879482683	-8.70845295216627	-10.9044192233966
MQ305	-17.7880011807633	19.0684783692084	-5.49279963817701	-30.7132241868748
MS1334	-16.8516180394404	-32.818381289873	-26.0246943647595	2.14526697405781
MS153	34.9033431079467	7.09839925161199	-7.25025136495967	-9.83796169794172
MS71	-49.9257207639622	-29.0768355231562	39.1227087323189	18.781914852974
MT42	-76.1908224752427	-58.4557658364947	-18.9978629385983	9.92596941115433
N192	-26.0935313366156	68.4196868837692	-20.7563674923593	8.71421193801758
N28HT	7.45830809386102	-9.65824958027314	-0.879141672569422	3.8360566056746
N6	5.74055015272105	-8.37879830455006	-13.002068505487	2.53863927145679
N7AGOODMAN-BUCKLER	26.1195829592885	27.2613839032094	-6.76487593660879	-5.51306413590098
NC222	47.9420803615987	5.7436254546352	-10.6267865082719	-3.56803764964526
NC230	26.5083204616648	0.91207771099542	-16.3845280263115	-4.48085984603537
NC232	27.2356201599715	-1.60081949598401	-10.5283818371455	-8.8972901654658
NC236	18.1784432832633	1.98673278703137	-9.71921651098063	-3.66893402970488
NC238	-16.6085205343474	-21.7702565211642	-22.5660942510241	-3.01616541694303
NC250	32.6177845083064	25.145487671518	-0.0333499467137368	-7.45947626333568
NC258	-0.343962000746757	-19.3240319470314	7.68350366930316	-15.8130517089018
NC260	-29.5560523824894	-24.1267314414553	-11.4350651800951	-3.95315921492373
NC262	25.1134494375954	-5.50848766583978	7.91209713823825	-1.40092798819834
NC264	75.203016615819	13.7734476432063	6.51696566661179	2.77578257834497
NC290A	19.4799222519006	-5.00025219457682	3.38963684647145	-11.4897421939536
NC294	-42.8588612237586	50.1909297581078	-29.5169932642602	10.1351214958842
NC296	95.8279924974389	16.3164431215221	5.97401939225627	12.3868831967767
NC296A	57.7325085384968	1.95573924494256	-1.20685096092008	22.575155490471
NC298	30.0555473948835	-10.4083467497319	-23.3798646298571	23.5330813524299
NC300	2.06286451137909	-26.7339887356842	-17.1300749748833	25.5872693969557
NC302	21.9056512615027	-14.1303414443941	-11.9074991131595	31.2381866478419
NC304	-15.8143201852825	-36.4743408576868	-19.1248448373899	34.4689971012026
NC306	-47.0415255676756	55.510231211541	-5.40848409281301	21.6105978562119
NC310	-69.0033674256037	75.744319595623	-20.8363077418666	13.1741447462839
NC314	-31.909124179043	41.2836580655704	-22.8561464295259	11.1018724122455
NC318	35.5029082892218	-1.98107063670966	1.32086880264912	5.52262885312863
NC320	18.639063381805	-8.43189574174562	-15.9227016351405	5.18059509693764
